App,Controller,Topology,Steps,rw_delta,ww_delta,alt_barr,data_deps,num_read,num_writes,num_ops,num_rw_time_edges,num_ww_time_edges,num_time_edges,num_harmful,num_commute,num_races,num_covered,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
Forwarding,POX Angler,BinTree1,200,3,3,True,True,1193,55,1248,6887,77,6964,745,14810,15555,16,98,55,0,43,45,62,76
Forwarding,POX Angler,BinTree1,200,4,4,False,True,1193,55,1248,6621,22,6643,1008,14798,15806,38,117,67,6,44,48,62,77
Forwarding,POX Angler,BinTree1,200,4,4,True,True,1193,55,1248,6629,45,6674,1035,14810,15845,25,117,67,1,49,48,62,89
Forwarding,POX Angler,BinTree1,200,5,5,False,True,1193,55,1248,6383,18,6401,1250,14798,16048,74,132,74,9,49,50,62,78
Forwarding,POX Angler,BinTree1,200,5,5,True,True,1193,55,1248,6389,30,6419,1290,14810,16100,32,132,74,0,58,49,62,95
Forwarding,POX Angler,BinTree1,200,6,6,False,True,1193,55,1248,6137,9,6146,1505,14798,16303,118,147,89,12,46,60,62,81
Forwarding,POX Angler,BinTree1,200,6,6,True,True,1193,55,1248,6140,15,6155,1554,14810,16364,33,147,89,0,58,57,62,99
Forwarding,POX Angler,BinTree1,200,7,7,False,True,1193,55,1248,5873,0,5873,1778,14798,16576,158,172,107,16,49,59,62,84
Forwarding,POX Angler,BinTree1,200,7,7,True,True,1193,55,1248,5875,6,5881,1828,14810,16638,36,172,107,0,65,56,62,102
Forwarding,POX Angler,BinTree1,200,8,8,False,True,1193,55,1248,5614,0,5614,2037,14798,16835,196,190,121,26,43,73,62,84
Forwarding,POX Angler,BinTree1,200,8,8,True,True,1193,55,1248,5616,3,5619,2090,14810,16900,40,190,121,0,69,70,62,103
Forwarding,POX Angler,BinTree1,200,9,9,False,True,1193,55,1248,5335,0,5335,2316,14798,17114,240,209,132,31,46,70,62,84
Forwarding,POX Angler,BinTree1,200,9,9,True,True,1193,55,1248,5336,0,5336,2373,14810,17183,46,209,132,0,77,67,62,104
Forwarding,POX Angler,BinTree1,200,10,10,False,True,1193,55,1248,5053,0,5053,2598,14798,17396,282,223,142,34,47,73,62,84
Forwarding,POX Angler,BinTree1,200,10,10,True,True,1193,55,1248,5053,0,5053,2656,14810,17466,55,223,142,0,81,68,62,104
Forwarding,POX Angler,BinTree1,200,inf,inf,False,True,1193,55,1248,0,0,0,7651,14798,22449,1279,515,341,153,21,29,62,84
Forwarding,POX Angler,BinTree1,200,inf,inf,True,True,1193,55,1248,0,0,0,7709,14810,22519,135,515,341,0,174,24,62,104
Forwarding,POX Angler,Mesh2,200,0,0,False,True,68,16,84,314,20,334,0,236,236,0,0,0,0,0,0,22,0
Forwarding,POX Angler,Mesh2,200,0,0,True,True,68,16,84,319,30,349,0,240,240,0,0,0,0,0,0,22,0
Forwarding,POX Angler,Mesh2,200,1,1,False,True,68,16,84,299,19,318,16,236,252,0,7,6,0,1,5,22,1
Forwarding,POX Angler,Mesh2,200,1,1,True,True,68,16,84,304,27,331,18,240,258,0,7,6,0,1,5,22,1
Forwarding,POX Angler,Mesh2,200,2,2,False,True,68,16,84,277,8,285,49,236,285,0,12,12,0,0,10,22,8
