name,run,total_time_sec,
trace_floodlight_forwarding-BinaryLeafTreeTopology2,18,3.453198,
trace_floodlight_forwarding-BinaryLeafTreeTopology2,19,3.444149,
trace_floodlight_forwarding-BinaryLeafTreeTopology2,2,3.46357,
trace_floodlight_forwarding-BinaryLeafTreeTopology2,20,3.426855,
trace_floodlight_forwarding-BinaryLeafTreeTopology2,3,3.497271,
trace_floodlight_forwarding-BinaryLeafTreeTopology2,4,3.461494,
trace_floodlight_forwarding-BinaryLeafTreeTopology2,5,3.484412,
trace_floodlight_forwarding-BinaryLeafTreeTopology2,6,3.456891,
trace_floodlight_forwarding-BinaryLeafTreeTopology2,7,3.469855,
trace_floodlight_forwarding-BinaryLeafTreeTopology2,8,3.553802,
trace_floodlight_forwarding-BinaryLeafTreeTopology2,9,3.492359,
trace_onos_ifwd-StarTopology2,1,0.425679,
trace_onos_ifwd-StarTopology2,10,0.443445,
trace_onos_ifwd-StarTopology2,11,0.433576,
trace_onos_ifwd-StarTopology2,12,0.448022,
trace_onos_ifwd-StarTopology2,13,0.427944,
trace_onos_ifwd-StarTopology2,14,0.425828,
trace_onos_ifwd-StarTopology2,15,0.425706,
trace_onos_ifwd-StarTopology2,16,0.425848,
trace_onos_ifwd-StarTopology2,17,0.421583,
trace_onos_ifwd-StarTopology2,18,0.41775,
trace_onos_ifwd-StarTopology2,19,0.429083,
trace_onos_ifwd-StarTopology2,2,0.428468,
trace_onos_ifwd-StarTopology2,20,0.422734,
trace_onos_ifwd-StarTopology2,3,0.448439,
trace_onos_ifwd-StarTopology2,4,0.430963,
trace_onos_ifwd-StarTopology2,5,0.439036,
trace_onos_ifwd-StarTopology2,6,0.434811,
trace_onos_ifwd-StarTopology2,7,0.427855,
trace_onos_ifwd-StarTopology2,8,0.436191,
trace_onos_ifwd-StarTopology2,9,0.431771,
trace_onos_ifwd-MeshTopology2,1,1.149076,
trace_onos_ifwd-MeshTopology2,10,1.136758,
trace_onos_ifwd-MeshTopology2,11,1.136408,
trace_onos_ifwd-MeshTopology2,12,1.139126,
trace_onos_ifwd-MeshTopology2,13,1.12172,
trace_onos_ifwd-MeshTopology2,14,1.138378,
trace_onos_ifwd-MeshTopology2,15,1.131988,
trace_onos_ifwd-MeshTopology2,16,1.160788,
trace_onos_ifwd-MeshTopology2,17,1.154045,
trace_onos_ifwd-MeshTopology2,18,1.127462,
